provider,concurrency,total_requests,total_time_s,throughput_rps,p50_ms,p95_ms,p99_ms,error_rate_pct
mock:deterministic-mock+dense:hashing-ngram-384,1,100,0.197,507.9,1.97,2.52,2.82,0.0
mock:deterministic-mock+dense:hashing-ngram-384,5,100,0.14,711.8,7.04,8.32,9.35,0.0
mock:deterministic-mock+dense:hashing-ngram-384,10,100,0.132,759.8,13.29,15.42,16.5,0.0
mock:deterministic-mock+dense:hashing-ngram-384,20,100,0.128,784.0,26.28,28.61,34.31,0.0
mock:deterministic-mock+dense:hashing-ngram-384,40,100,0.132,758.9,51.68,61.83,71.4,0.0
